"id","driverId","corridorId","originHubId","destinationHubId","originName","originLat","originLng","destName","destLat","destLng","departureTime","totalSeats","availableSeats","vehicleType","helmetProvided","contribution","notes","status","originSequence","destinationSequence"
"5cef133f-2e32-48e4-a7eb-2811979c2847","d3b6bef4-14dc-43ee-b1ea-5df640bff3ea","swargate-vit","0c2d013a-9422-4c89-905f-4ec287ba2251","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Swargate BRTS Stop","18.4982","73.8588","VIT College","18.4635","73.8682","2026-08-18T02:15:00.000Z","1","0","bike","true","20","Pickup near the hub","COMPLETED","2","12"
"76179ba1-30e0-477b-ae29-d600f715e9ee","a78892d9-93b0-4a78-9a2f-2fad3db5becb","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","eb0d92a7-38aa-446a-9f38-091814ea3abd","VIT College","18.4635","73.8682","Chintamani Nagar","18.4651","73.864","2026-08-19T12:00:00.000Z","3","1","car","false","72","","SCHEDULED","13","12"
"7ecc5433-f388-49c8-89a7-e6af39dbbed2","613365a0-56e0-41a2-a7c9-48b35ec746a1","swargate-vit","596f6d76-b8c5-4cf2-9058-1a1a334d424d","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Panchami BRTS","18.4902","73.8586","VIT College","18.4635","73.8682","2026-08-20T02:15:00.000Z","1","0","scooty","true","19","Pickup near the hub","SCHEDULED","4","12"
"8c70b215-94c9-4465-96d0-72dafdb7fecb","6767d864-c164-421c-8b90-0f29abc5af41","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","af5c22fe-11db-4392-b90e-85f946c0a37b","VIT College","18.4635","73.8682","KK Market BRTS","18.4683","73.8579","2026-08-21T12:00:00.000Z","1","0","bike","true","24","Please arrive five minutes early","COMPLETED","13","5"
"26196210-9e3e-4195-bc14-5659986c1e39","62390621-3521-47ba-869a-f822874bb453","swargate-vit","eb0d92a7-38aa-446a-9f38-091814ea3abd","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Chintamani Nagar","18.4651","73.864","VIT College","18.4635","73.8682","2026-08-22T02:15:00.000Z","1","0","bike","true","25","Morning campus commute","COMPLETED","11","12"
"7b014dba-0df2-4338-9833-b2ad08eea006","9449171f-669b-4ae3-8a11-85c2698005b4","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","1bc21bdf-5bcc-4dd4-8140-eac24ae23b69","VIT College","18.4635","73.8682","Kashinath Patil Nagar Stop","18.4745","73.8631","2026-08-23T12:00:00.000Z","1","0","scooty","false","7","Please arrive five minutes early","SCHEDULED","13","10"
"e740fbe6-08b2-48ab-9ea5-fdea46ba33a2","8005e16b-eaf8-45be-b4d8-a5fcd5431201","swargate-vit","86e290a5-7e39-4f7a-805e-a6154d820f01","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Market Yard Corner","18.4792","73.8581","VIT College","18.4635","73.8682","2026-08-24T02:15:00.000Z","1","0","scooty","true","26","Pickup near the hub","COMPLETED","6","12"
"5f011875-d174-456e-8e7f-72ee59c5e164","e0bd240d-0573-4a8a-830a-c46264dbd855","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","0ad9adea-2c75-4d2a-86ae-34dcc0727788","VIT College","18.4635","73.8682","Shankar Maharaj Math","18.4735","73.8579","2026-08-25T12:00:00.000Z","1","0","scooty","true","5","Pickup near the hub","COMPLETED","13","6"
"6464cd59-ff68-4a0e-9445-5c85c2202968","f256e949-f4e4-4ba3-8ea9-d6a3d0ba8526","swargate-vit","11cd5543-db39-4321-9f12-008b367d2ce1","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Upper Indira Nagar Bus Depot","18.4682","73.8623","VIT College","18.4635","73.8682","2026-08-26T02:15:00.000Z","4","4","car","false","31","","COMPLETED","10","12"
"edc119e1-9174-402e-b23c-6da190e38c4c","ce3592dc-d951-4134-a2cd-52dbc233a3f4","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","a80964b4-72f5-43de-ad1a-bdcb9fca796e","VIT College","18.4635","73.8682","Lower Indira Nagar Stop","18.4718","73.8618","2026-08-27T12:00:00.000Z","1","0","bike","true","6","Morning campus commute","CANCELLED","13","9"
"409dc43c-6d61-425a-9ad3-6cf9f3497009","b8ece9b4-d515-405a-952d-1ccdc242c410","swargate-vit","eb0d92a7-38aa-446a-9f38-091814ea3abd","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Chintamani Nagar","18.4651","73.864","VIT College","18.4635","73.8682","2026-08-28T02:15:00.000Z","1","1","bike","true","26","Please arrive five minutes early","COMPLETED","11","12"
"358dcfdc-19d7-46c5-9792-db4cafb39e25","08eb06b4-7805-4b0c-998b-d919358e8b0f","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","86e290a5-7e39-4f7a-805e-a6154d820f01","VIT College","18.4635","73.8682","Market Yard Corner","18.4792","73.8581","2026-08-29T12:00:00.000Z","1","0","bike","true","2","Morning campus commute","COMPLETED","13","7"
"a9f57098-6b56-47c2-a905-943792856563","7b50af0a-e87a-4600-b547-06ff9da50ada","swargate-vit","86e290a5-7e39-4f7a-805e-a6154d820f01","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Market Yard Corner","18.4792","73.8581","VIT College","18.4635","73.8682","2026-08-30T02:15:00.000Z","1","1","scooty","true","23","","COMPLETED","6","12"
"9acaa625-8ac9-4eb2-b657-e5fefadadb13","0b95ee62-3f26-4837-bdb3-8120bae0deda","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","0ad9adea-2c75-4d2a-86ae-34dcc0727788","VIT College","18.4635","73.8682","Shankar Maharaj Math","18.4735","73.8579","2026-08-31T12:00:00.000Z","1","0","scooty","true","23","Morning campus commute","SCHEDULED","13","6"
"bb68714e-cc99-4298-a0ab-f0964a1a3277","8100f2b8-79e0-4059-be98-ced465000a2e","swargate-vit","1bc21bdf-5bcc-4dd4-8140-eac24ae23b69","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Kashinath Patil Nagar Stop","18.4745","73.8631","VIT College","18.4635","73.8682","2026-09-01T02:15:00.000Z","2","2","car","false","65","Pickup near the hub","CANCELLED","9","12"
"07f12c9d-b137-490c-bc05-6847b466144c","a85fce63-b4a4-4d71-9d87-2fb5e4653681","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","af5c22fe-11db-4392-b90e-85f946c0a37b","VIT College","18.4635","73.8682","KK Market BRTS","18.4683","73.8579","2026-09-02T12:00:00.000Z","2","1","car","false","74","Please arrive five minutes early","COMPLETED","13","5"
"b054dae5-6749-4f45-bd70-90a5261bb3cb","a6724b4c-1f36-4019-9072-772bbdeeca30","swargate-vit","11cd5543-db39-4321-9f12-008b367d2ce1","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Upper Indira Nagar Bus Depot","18.4682","73.8623","VIT College","18.4635","73.8682","2026-09-03T02:15:00.000Z","1","0","scooty","true","13","Morning campus commute","CANCELLED","10","12"
"f519bf84-2469-4645-94a5-4b64c74736be","e443e68b-7cb4-4260-8ec6-64c485de79d5","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","a80964b4-72f5-43de-ad1a-bdcb9fca796e","VIT College","18.4635","73.8682","Lower Indira Nagar Stop","18.4718","73.8618","2026-09-04T12:00:00.000Z","4","2","car","false","45","Pickup near the hub","SCHEDULED","13","9"
"ca529453-1096-4d6d-b73c-844960b24c84","697c28b3-7690-4ffd-bfa8-c30e27f63214","swargate-vit","3221d156-13e7-4834-84ce-848f49b87be2","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Bibwewadi Bus Stop","18.4792","73.8615","VIT College","18.4635","73.8682","2026-09-05T02:15:00.000Z","1","0","bike","true","1","Pickup near the hub","COMPLETED","7","12"
"2c44cc2e-2b1a-407b-b6f4-6d379c613876","49e5dc79-ab6d-4188-9d10-62c1b84c7f5c","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","0ad9adea-2c75-4d2a-86ae-34dcc0727788","VIT College","18.4635","73.8682","Shankar Maharaj Math","18.4735","73.8579","2026-09-06T12:00:00.000Z","1","0","scooty","true","29","Morning campus commute","CANCELLED","13","6"
"9bd7e7cc-c3b8-44a4-bb94-071ae012af07","c2483f77-a251-4434-8d94-6a2c53e2d38e","swargate-vit","596f6d76-b8c5-4cf2-9058-1a1a334d424d","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Panchami BRTS","18.4902","73.8586","VIT College","18.4635","73.8682","2026-09-07T02:15:00.000Z","4","2","car","false","22","Pickup near the hub","COMPLETED","4","12"
"6cbc24c9-997a-4575-8f50-74a63c8817db","b2f0c20b-d66e-41c9-b60f-6562ae71b956","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","ebb92112-ef31-4ebe-a259-4e999c52f0fd","VIT College","18.4635","73.8682","Bharati Vidyapeeth","18.456","73.8574","2026-09-08T12:00:00.000Z","1","0","bike","true","17","Please arrive five minutes early","COMPLETED","13","3"
"d4d9d3bf-e1ec-4b6c-8fd1-77e5c98c2dfc","fc8036f4-d3bf-49ee-baff-431b84d612ea","swargate-vit","3221d156-13e7-4834-84ce-848f49b87be2","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Bibwewadi Bus Stop","18.4792","73.8615","VIT College","18.4635","73.8682","2026-09-09T02:15:00.000Z","1","0","bike","true","5","","CANCELLED","7","12"
"78c3715a-e0d6-4e72-8e78-0812a9f0dc30","2d02ada0-aefc-4d76-9f2f-c57bee3201ac","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","a80964b4-72f5-43de-ad1a-bdcb9fca796e","VIT College","18.4635","73.8682","Lower Indira Nagar Stop","18.4718","73.8618","2026-09-10T12:00:00.000Z","3","2","car","false","26","Please arrive five minutes early","COMPLETED","13","9"
"080c0231-8db6-4bf8-af7e-18f1897059cb","ed6b366d-9f31-4216-84e6-747030d98fda","swargate-vit","0095597e-ebd1-4f83-a6c0-a8e94be6a92b","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Laxmi Narayan Theatre","18.4965","73.8584","VIT College","18.4635","73.8682","2026-09-11T02:15:00.000Z","1","1","scooty","true","14","Pickup near the hub","COMPLETED","3","12"
"545281f3-0f0e-4257-b59e-65b48e3321bc","1f726f94-16aa-417d-8d05-1b3dd96d0827","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","fea32ab3-d832-43d3-a3a0-788e8711526d","VIT College","18.4635","73.8682","Balaji Nagar BRTS","18.4628","73.8577","2026-09-12T12:00:00.000Z","2","2","car","false","35","Pickup near the hub","SCHEDULED","13","4"
"e014b291-f580-4258-b975-b7b590db113d","b9d9e60d-de32-4732-8eb8-480e0e81bcbf","swargate-vit","a80964b4-72f5-43de-ad1a-bdcb9fca796e","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Lower Indira Nagar Stop","18.4718","73.8618","VIT College","18.4635","73.8682","2026-09-13T02:15:00.000Z","1","1","scooty","true","29","Pickup near the hub","SCHEDULED","8","12"
"0989abd2-b57c-4ede-a394-bb7842c14348","442efbff-6f39-436d-bf7a-2cbb6404a6ed","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","eb0d92a7-38aa-446a-9f38-091814ea3abd","VIT College","18.4635","73.8682","Chintamani Nagar","18.4651","73.864","2026-09-14T12:00:00.000Z","2","1","car","false","62","","COMPLETED","13","12"
"80d22281-505f-4704-b42a-1fb05dcf59f6","afabde80-8412-4536-8a7d-443441b6329d","swargate-vit","a80964b4-72f5-43de-ad1a-bdcb9fca796e","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Lower Indira Nagar Stop","18.4718","73.8618","VIT College","18.4635","73.8682","2026-09-15T02:15:00.000Z","1","1","bike","true","9","Morning campus commute","CANCELLED","8","12"
"95daa436-49ea-4a26-ae45-05b68c07a3c6","6c3f7adf-4f2a-4914-ba78-8b1548f14a1a","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","1bc21bdf-5bcc-4dd4-8140-eac24ae23b69","VIT College","18.4635","73.8682","Kashinath Patil Nagar Stop","18.4745","73.8631","2026-09-16T12:00:00.000Z","1","1","bike","true","5","","CANCELLED","13","10"
"64d9b517-5a5e-48f8-9ce7-d05be280f5a0","81dfda4a-3ec9-4eae-a7f1-0692e03bb1d0","swargate-vit","0c2d013a-9422-4c89-905f-4ec287ba2251","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Swargate BRTS Stop","18.4982","73.8588","VIT College","18.4635","73.8682","2026-09-17T02:15:00.000Z","1","1","scooty","true","20","","SCHEDULED","2","12"
"392cb2f8-d9df-427a-8ec9-95de2ae3799e","b049f74f-7dd1-454b-91ad-b27eeaeed095","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","a80964b4-72f5-43de-ad1a-bdcb9fca796e","VIT College","18.4635","73.8682","Lower Indira Nagar Stop","18.4718","73.8618","2026-09-18T12:00:00.000Z","1","1","scooty","true","18","","COMPLETED","13","9"
"8f639569-9d2b-4e19-9a44-45d0f3118bac","ea3fd43b-e1e5-4d62-a163-dae19fc740bd","swargate-vit","19cfadd2-1ff7-4a2f-b5e3-eeb73f44cc28","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Swargate PMPML Main Bus Stand","18.4991","73.8583","VIT College","18.4635","73.8682","2026-09-19T02:15:00.000Z","1","0","bike","true","17","Morning campus commute","COMPLETED","1","12"
"505a1ac1-40b5-4652-8fbf-67b3a88f1740","15d12fa2-5285-4e19-a290-344ead002d9f","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","eb0d92a7-38aa-446a-9f38-091814ea3abd","VIT College","18.4635","73.8682","Chintamani Nagar","18.4651","73.864","2026-09-20T12:00:00.000Z","1","0","bike","true","4","Morning campus commute","COMPLETED","13","12"
"d7357d00-84c1-4e53-8ca5-9ac52c5a58f5","687e3195-2599-427f-a4e3-990ead4c2985","swargate-vit","eb0d92a7-38aa-446a-9f38-091814ea3abd","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Chintamani Nagar","18.4651","73.864","VIT College","18.4635","73.8682","2026-09-21T02:15:00.000Z","2","2","car","false","34","Morning campus commute","CANCELLED","11","12"
"78ab243a-4567-42f8-baa5-d6fb3f981e4f","e977337e-9b7d-4b79-9851-7a31a276eaf5","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","86597dc2-00ef-475a-8a9a-daf0323897ca","VIT College","18.4635","73.8682","Katraj Terminal","18.4471","73.8562","2026-09-22T12:00:00.000Z","1","0","bike","true","10","","SCHEDULED","13","1"
"3f5dbb31-a588-4482-8a07-b0ec50fbd83f","7833fb03-c858-4574-92d0-cb72030a18eb","swargate-vit","3221d156-13e7-4834-84ce-848f49b87be2","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Bibwewadi Bus Stop","18.4792","73.8615","VIT College","18.4635","73.8682","2026-09-23T02:15:00.000Z","1","1","scooty","true","25","Pickup near the hub","SCHEDULED","7","12"
"9470df63-a388-477a-ab7c-5c3d550c74ed","71cd4f7b-3e01-44d7-9657-d28c4544f992","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","86597dc2-00ef-475a-8a9a-daf0323897ca","VIT College","18.4635","73.8682","Katraj Terminal","18.4471","73.8562","2026-09-24T12:00:00.000Z","1","0","scooty","true","11","Morning campus commute","SCHEDULED","13","1"
"636ac1e5-e8b4-4cbf-afec-60e548a2c3dd","bfe5c77b-945d-47a5-81f7-7ae8e1ff5d5b","swargate-vit","3221d156-13e7-4834-84ce-848f49b87be2","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Bibwewadi Bus Stop","18.4792","73.8615","VIT College","18.4635","73.8682","2026-09-25T02:15:00.000Z","2","2","car","false","54","Morning campus commute","SCHEDULED","7","12"
"f49031a7-61f3-4710-8dca-29a16eb403d0","5def974b-b8b4-4ef7-8825-5a50ee6710cd","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","1bc21bdf-5bcc-4dd4-8140-eac24ae23b69","VIT College","18.4635","73.8682","Kashinath Patil Nagar Stop","18.4745","73.8631","2026-09-26T12:00:00.000Z","4","2","car","false","68","Pickup near the hub","SCHEDULED","13","10"
"2c6ab345-9777-45b4-a794-95db08ae07c2","772a4089-be1c-415b-9115-5af745dcbd7e","swargate-vit","11cd5543-db39-4321-9f12-008b367d2ce1","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Upper Indira Nagar Bus Depot","18.4682","73.8623","VIT College","18.4635","73.8682","2026-09-27T02:15:00.000Z","2","0","car","false","26","","SCHEDULED","10","12"
"e3355ceb-b08d-4951-a32a-8d52582985af","04bfe73e-1142-4d3f-8bbf-57dbee041dd2","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","11cd5543-db39-4321-9f12-008b367d2ce1","VIT College","18.4635","73.8682","Upper Indira Nagar Bus Depot","18.4682","73.8623","2026-09-28T12:00:00.000Z","1","0","scooty","true","27","Pickup near the hub","SCHEDULED","13","11"
"7d02b32f-7429-403a-8b78-9abb2743d54c","0234ea7e-b8a5-4a4f-8b12-eb48fefff06e","swargate-vit","596f6d76-b8c5-4cf2-9058-1a1a334d424d","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Panchami BRTS","18.4902","73.8586","VIT College","18.4635","73.8682","2026-09-29T02:15:00.000Z","1","1","scooty","true","6","","SCHEDULED","4","12"
"a46b8abb-7f58-4ce7-8fbe-c3a9393eb841","2e0f5d10-9fa3-4578-9046-adc52e9f52d6","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","876d2e4d-fad4-4ee2-916c-e5ad147030cf","VIT College","18.4635","73.8682","Katraj Dairy BRTS","18.4508","73.8569","2026-09-30T12:00:00.000Z","1","1","bike","true","16","Pickup near the hub","SCHEDULED","13","2"
"1b3f6749-f0ae-4234-8f8a-04caf7f11e60","29bb8b65-a83a-4f6b-b7c4-0a86fd9b82a1","swargate-vit","a80964b4-72f5-43de-ad1a-bdcb9fca796e","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Lower Indira Nagar Stop","18.4718","73.8618","VIT College","18.4635","73.8682","2026-10-01T02:15:00.000Z","2","0","car","false","33","Morning campus commute","SCHEDULED","8","12"
"36b2c460-a1cd-457c-92fe-8f2b55f34de3","c283b8d4-e85f-4f55-a686-461ce166d95c","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","fea32ab3-d832-43d3-a3a0-788e8711526d","VIT College","18.4635","73.8682","Balaji Nagar BRTS","18.4628","73.8577","2026-10-02T12:00:00.000Z","2","0","car","false","77","Please arrive five minutes early","SCHEDULED","13","4"
"c95c3cbe-06de-4f02-8209-d537672df89e","a7ff8669-7d2a-4462-beb0-0d9e874f1dc8","swargate-vit","0c2d013a-9422-4c89-905f-4ec287ba2251","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Swargate BRTS Stop","18.4982","73.8588","VIT College","18.4635","73.8682","2026-10-03T02:15:00.000Z","1","0","bike","false","2","Pickup near the hub","SCHEDULED","2","12"
"7af251b1-c357-4a1b-bd99-dcc1d92cebaf","dae29690-62f3-4202-8961-05b05ec7dcc6","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","86597dc2-00ef-475a-8a9a-daf0323897ca","VIT College","18.4635","73.8682","Katraj Terminal","18.4471","73.8562","2026-10-04T12:00:00.000Z","1","0","scooty","true","20","Pickup near the hub","SCHEDULED","13","1"
"93704f8f-9b3d-4658-9df9-7297a09efb6d","856b4feb-c8f1-4731-b41e-d21be114be5d","swargate-vit","0095597e-ebd1-4f83-a6c0-a8e94be6a92b","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Laxmi Narayan Theatre","18.4965","73.8584","VIT College","18.4635","73.8682","2026-10-05T02:15:00.000Z","1","1","bike","true","28","Morning campus commute","SCHEDULED","3","12"
"49077169-77dd-4c65-bdc5-b78766d672c2","8d2bb992-3062-4ae3-b2ae-9d47074dec68","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","86597dc2-00ef-475a-8a9a-daf0323897ca","VIT College","18.4635","73.8682","Katraj Terminal","18.4471","73.8562","2026-10-06T12:00:00.000Z","1","1","bike","true","28","Pickup near the hub","SCHEDULED","13","1"
"5b4c231d-27bf-408c-951f-fddd27a7e9e0","b94bb3da-92c3-4ecf-b576-f9dbbce590b5","swargate-vit","a80964b4-72f5-43de-ad1a-bdcb9fca796e","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Lower Indira Nagar Stop","18.4718","73.8618","VIT College","18.4635","73.8682","2026-10-07T02:15:00.000Z","1","0","bike","true","11","Pickup near the hub","SCHEDULED","8","12"
"096bba8c-0116-411d-9f14-1c96839712fc","db6d13c6-50ea-4ee7-98cb-daab8b877783","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","3221d156-13e7-4834-84ce-848f49b87be2","VIT College","18.4635","73.8682","Bibwewadi Bus Stop","18.4792","73.8615","2026-10-08T12:00:00.000Z","1","1","scooty","true","3","","SCHEDULED","13","8"
"50e7e7af-1469-4648-8b4e-455511038b4b","aba3000b-d3fe-45b0-93f8-1eb12fe76121","swargate-vit","86e290a5-7e39-4f7a-805e-a6154d820f01","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Market Yard Corner","18.4792","73.8581","VIT College","18.4635","73.8682","2026-10-09T02:15:00.000Z","1","0","bike","true","20","Please arrive five minutes early","SCHEDULED","6","12"
"aced7d47-d250-420a-9774-e2988bf4185a","0f35346d-5638-4de0-b685-b0f5e42ff331","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","0ad9adea-2c75-4d2a-86ae-34dcc0727788","VIT College","18.4635","73.8682","Shankar Maharaj Math","18.4735","73.8579","2026-10-10T12:00:00.000Z","1","0","bike","true","22","Pickup near the hub","SCHEDULED","13","6"
"3e84b24e-d459-4a5c-ab02-b23b20357c43","b53fb963-29ea-4299-915f-2cf34647fe2b","swargate-vit","eb0d92a7-38aa-446a-9f38-091814ea3abd","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Chintamani Nagar","18.4651","73.864","VIT College","18.4635","73.8682","2026-10-11T02:15:00.000Z","4","2","car","false","36","Please arrive five minutes early","SCHEDULED","11","12"
"51804ff0-732e-4f33-9d16-ce45d3f78ad0","a2cb33f4-0739-4e42-9665-4bae72ebfb2a","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","1bc21bdf-5bcc-4dd4-8140-eac24ae23b69","VIT College","18.4635","73.8682","Kashinath Patil Nagar Stop","18.4745","73.8631","2026-10-12T12:00:00.000Z","3","2","car","false","63","Please arrive five minutes early","SCHEDULED","13","10"
"b329300e-ced4-4596-85e2-2463a21ba4f9","95e5d040-6f8f-43de-b101-0a1abbfde269","swargate-vit","86e290a5-7e39-4f7a-805e-a6154d820f01","6c30c56b-74ce-4c24-a819-98b9ab6387f5","Market Yard Corner","18.4792","73.8581","VIT College","18.4635","73.8682","2026-10-13T02:15:00.000Z","1","0","bike","true","4","Morning campus commute","SCHEDULED","6","12"
"2e26e5e6-8a2c-49a0-9e59-effa2baf3812","b4419d49-c195-4f67-8a68-1e38418429ef","katraj-vit","6c30c56b-74ce-4c24-a819-98b9ab6387f5","11cd5543-db39-4321-9f12-008b367d2ce1","VIT College","18.4635","73.8682","Upper Indira Nagar Bus Depot","18.4682","73.8623","2026-10-14T12:00:00.000Z","3","1","car","false","71","Please arrive five minutes early","SCHEDULED","13","11"
